Down-log2(FC)	Down-entry	Down-mgi_symbol	Down-refseq_mrna	Down-entrezgene	Down-description
-15	834	Cyp2ab1	0	224044	cytochrome P450
-15	871	Saa1	0	20208	serum amyloid A 1 [Source:MGI Symbol
-15	1184	Slc6a4	0	15567	solute carrier family 6 (neurotransmitter transporter
-15	1272	Nrxn3	0	18191	neurexin III [Source:MGI Symbol
-15	1641	4930417H01Rik	0	NA	RIKEN cDNA 4930417H01 gene [Source:MGI Symbol
-15	2733	Krt16	NM_001313958	16666	keratin 16 [Source:MGI Symbol
-15	2799	Olfr697	NM_146599	258592	olfactory receptor 697 [Source:MGI Symbol
-15	3150	Nt5c1a	NM_001085502	230718	5'-nucleotidase
-15	3305	Clvs1	0	74438	clavesin 1 [Source:MGI Symbol
-15	3933	Gm20458	0	NA	predicted gene 20458 [Source:MGI Symbol
-15	4281	Syt16	NM_172804	238266	synaptotagmin XVI [Source:MGI Symbol
-15	4324	A930015D03Rik	0	NA	RIKEN cDNA A930015D03 gene [Source:MGI Symbol
-12.2916759114328	3236	Gm14440	NM_001199308	100503353	predicted gene 14440 [Source:MGI Symbol
-10.7934475843696	1462	Gm16685	0	NA	predicted gene
-9.7020844539382	1639	Coch	NM_007728	12810	cochlin [Source:MGI Symbol
-9.04944953351234	846	Il1a	NM_010554	16175	interleukin 1 alpha [Source:MGI Symbol
-8.97215136735561	83	Cd200	NM_010818	17470	CD200 antigen [Source:MGI Symbol
-8.87838355330004	992	Il1f9	NM_153511	215257	interleukin 1 family
-8.56011788205518	722	Slfn4	NM_011410	20558	schlafen 4 [Source:MGI Symbol
-8.42900080443919	515	Filip1	NM_001081243	70598	filamin A interacting protein 1 [Source:MGI Symbol
-8.37729120234929	2397	Ankrd34c	0	330998	ankyrin repeat domain 34C [Source:MGI Symbol
-8.34902277217251	1172	Pde10a	0	23984	phosphodiesterase 10A [Source:MGI Symbol
-8.31862123609109	881	Lcn2	0	16819	lipocalin 2 [Source:MGI Symbol
-8.25822309238832	1452	Mycl	0	16918	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived [Source:MGI Symbol
-8.14749249171289	1037	Slamf1	NM_013730	27218	signaling lymphocytic activation molecule family member 1 [Source:MGI Symbol
-8.09282723478448	633	Inhba	0	16323	inhibin beta-A [Source:MGI Symbol
-8.04895977650544	593	Akap2	0	11641	A kinase (PRKA) anchor protein 2 [Source:MGI Symbol
-7.88454371077806	1119	4930438A08Rik	0	73988	RIKEN cDNA 4930438A08 gene [Source:MGI Symbol
