[µm],Mean
0,4543.458
1,4523.503
2,4510.115
3,4496.141
4,4485.390
5,4473.099
6,4459.364
7,4447.170
8,4433.047
9,4416.191
10,4399.809
11,4385.499
12,4373.356
13,4360.404
14,4345.002
15,4331.903
16,4319.574
17,4304.854
18,4292.125
19,4283.058
20,4266.710
21,4256.428
22,4241.861
23,4232.976
24,4221.731
25,4208.990
26,4197.949
27,4188.222
28,4179.055
29,4169.798
30,4160.500
31,4151.424
32,4142.865
33,4136.958
34,4127.986
35,4118.693
36,4109.613
37,4100.849
38,4093.782
39,4083.465
40,4079.975
41,4073.240
42,4064.822
43,4061.426
44,4053.737
45,4047.686
46,4041.040
47,4036.239
48,4031.793
49,4028.668
50,4025.175
51,4019.416
52,4013.019
53,4007.908
54,4004.889
55,4002.014
56,3995.573
57,3988.776
58,3985.216
59,3982.276
60,3978.299
61,3972.574
62,3968.625
63,3963.921
64,3957.569
65,3956.989
66,3952.891
67,3952.052
68,3950.539
69,3948.637
70,3947.774
71,3943.435
72,3943.006
73,3940.088
74,3938.865
75,3937.490
76,3936.377
77,3938.158
78,3936.978
79,3942.500
80,3941.752
81,3946.701
82,3947.614
83,3947.304
84,3945.049
85,3947.620
86,3946.042
87,3945.240
88,3949.364
89,3947.797
90,3947.030
91,3951.461
92,3951.977
93,3954.440
94,3955.802
95,3960.248
96,3961.667
97,3965.553
98,3969.080
99,3968.630
100,3969.257
101,3971.371
102,3972.873
103,3971.717
104,3974.831
105,3971.222
106,3972.499
107,3974.278
108,3976.472
109,3975.961
110,3978.903
111,3979.816
112,3984.379
113,3985.099
114,3987.511
115,3989.846
116,3992.094
117,3994.966
118,3995.427
119,3995.443
120,3181.369
121,3583.576
122,3662.881
123,3682.872
124,3705.599
125,3727.379
126,3751.429
127,3778.511
128,3807.006
129,3837.539
130,3867.503
131,3903.744
132,3941.128
133,3974.121
134,4015.364
135,4050.335
136,4086.050
137,4125.736
138,4172.558
139,4218.969
140,4259.645
141,4308.021
142,4355.021
143,4395.181
144,4447.937
145,4490.990
146,4537.775
147,4588.036
148,4640.896
149,4696.071
150,4743.745
151,4794.655
152,4847.899
153,4889.967
154,4937.548
155,4982.397
156,5020.329
157,5071.165
158,5117.843
159,5181.769
160,5234.306
161,5301.512
162,5371.953
163,5410.247
164,5455.472
165,5499.256
166,5533.489
167,5562.775
168,5589.114
169,5619.533
170,5648.135
171,5681.887
172,5712.057
173,5738.675
174,5768.572
175,5796.784
176,5815.919
177,5834.952
178,5855.596
179,5876.887
180,5896.047
181,5923.290
182,5948.460
183,5971.166
184,5986.635
185,6006.406
186,6025.286
187,6048.832
188,6065.091
189,6080.786
190,6097.152
191,6108.642
192,6122.438
193,6132.435
194,6135.428
195,6139.502
196,6149.909
197,6165.847
198,6184.663
199,6186.840
200,6192.929
201,6185.648
202,6181.053
203,6180.047
204,6167.208
205,6159.975
206,6157.287
207,6146.259
208,6139.763
209,6129.714
210,6115.656
211,6097.907
212,6078.079
213,6044.141
214,6018.795
215,5998.128
216,5977.018
217,5955.384
218,5928.041
219,5896.580
220,5867.287
221,5838.478
222,5805.125
223,5777.935
224,5747.619
225,5726.727
226,5708.378
227,5691.483
228,5678.289
229,5657.081
230,5640.638
231,5624.130
232,5611.427
233,5595.182
234,5580.679
235,5558.604
236,5534.436
237,5513.522
238,5480.635
239,5454.465
240,5439.269
241,5424.395
242,5405.216
243,5386.915
244,5359.153
245,5329.610
246,5304.214
247,5274.706
248,5247.007
249,5224.117
250,5205.122
251,5182.570
252,5151.004
253,5126.083
254,5098.717
255,5071.376
256,5054.358
257,5034.986
258,5006.856
259,4982.335
260,4950.189
261,4920.756
262,4895.257
263,4870.648
264,4827.446
265,4798.687
266,4771.843
267,4744.641
268,4716.847
269,4681.668
270,4633.626
271,4601.246
272,4574.247
273,4538.017
274,4507.776
275,4475.873
276,4444.417
277,4420.430
278,4394.188
279,4371.604
280,4345.958
281,4327.294
282,4306.141
283,4283.318
284,4263.470
285,4245.599
286,4235.223
287,4227.997
288,4217.119
289,4198.709
290,4171.340
291,4160.960
292,4141.137
293,4120.669
294,4108.789
295,4087.718
296,4058.751
297,4038.470
298,4022.185
299,4013.968
300,3997.650
301,3991.961
302,3977.013
303,3962.755
304,3949.011
305,3934.318
306,3916.076
307,3890.616
308,3877.680
309,3861.014
310,3848.773
311,3836.656
312,3816.333
313,3801.095
314,3793.982
315,3791.632
316,3784.961
317,3774.848
318,3766.784
319,3752.125
320,3741.524
321,3730.588
322,3724.683
323,3715.873
324,3707.212
325,3700.349
326,3698.905
327,3693.111
328,3685.125
329,3688.738
330,3691.549
331,3684.431
332,3680.267
333,3674.027
334,3672.279
335,3669.627
336,3664.245
337,3663.437
338,3656.593
339,3655.314
340,3648.181
341,3644.111
342,3640.226
343,3629.693
344,3621.051
345,3618.221
346,3614.597
347,3605.899
348,3596.721
349,3592.396
350,3584.538
351,3574.646
352,3568.845
353,3562.925
354,3556.569
355,3550.082
356,3541.115
357,3538.177
358,3527.979
359,3525.718
360,3520.836
361,3511.770
362,3507.206
363,3506.202
364,3503.727
365,3502.268
366,3499.923
367,3498.400
368,3496.840
369,3495.526
370,3493.917
371,3492.171
372,3491.626
373,3490.203
374,3487.736
375,3484.770
376,3483.287
377,3484.330
378,3481.742
379,3475.610
380,3472.050
381,3468.703
382,3464.248
383,3463.279
384,3462.781
385,3458.923
386,3452.432
387,3445.814
388,3442.873
389,3434.046
390,3427.548
391,3425.391
392,3423.354
393,3421.173
394,3419.519
395,3420.113
396,3416.752
397,3418.522
398,3415.921
399,3415.707
400,3413.746
401,3415.394
402,3415.413
403,3415.752
404,3410.401
405,3404.397
406,3403.262
407,3401.123
408,3396.522
409,3392.929
410,3392.381
411,3384.721
412,3378.511
413,3377.278
414,3376.373
415,3368.983
416,3362.104
417,3357.408
418,3353.224
419,3348.205
420,3346.316
