UP-log2(FC)	UP-entry	UP-mgi_symbol	UP-refseq_mrna	UP-entrezgene	UP-description
15	21	Hpgd	NM_008278	15446	hydroxyprostaglandin dehydrogenase 15 (NAD) [Source:MGI Symbol
15	25	Rnu3a	0	NA	U3A small nuclear RNA [Source:MGI Symbol
15	104	Fam83d	NM_027975	71878	family with sequence similarity 83
15	141	Ramp1	NM_178401	51801	receptor (calcitonin) activity modifying protein 1 [Source:MGI Symbol
15	951	Esco2	NM_028039	71988	establishment of sister chromatid cohesion N-acetyltransferase 2 [Source:MGI Symbol
15	2199	Gm9493	0	NA	predicted gene 9493 [Source:MGI Symbol
15	6277	Gm17344	0	NA	predicted gene
15	7317	Gm10401	0	NA	predicted gene 10401 [Source:MGI Symbol
15	7961	Gm9923	0	NA	predicted pseudogene 9923 [Source:MGI Symbol
11.4171223034222	1	Ighm	0	NA	immunoglobulin heavy constant mu [Source:MGI Symbol
10.9664340878628	2	Slco2b1	NM_175316	101488	solute carrier organic anion transporter family
9.6959247680479	28	Clec9a	NM_001205363	232414	C-type lectin domain family 9
9.40641873486961	125	Nrg2	NM_001167891	100042150	neuregulin 2 [Source:MGI Symbol
9.13211106632739	40	Clec1a	0	243653	C-type lectin domain family 1
7.91371880416681	185	Ipcef1	0	320495	interaction protein for cytohesin exchange factors 1 [Source:MGI Symbol
7.69013073807843	41	Tlr11	NM_205819	239081	toll-like receptor 11 [Source:MGI Symbol
7.6558425539388	57	Neil3	NM_146208	234258	nei like 3 (E. coli) [Source:MGI Symbol
7.52273120144784	69	Hist1h2af	NM_175661	319173	histone cluster 1
7.49901541132153	105	Pbk	NM_023209	52033	PDZ binding kinase [Source:MGI Symbol
7.45330912070963	262	Rasgrp3	NM_001166493	240168	RAS
7.4145636602232	12	Cenpf	NM_001081363	108000	centromere protein F [Source:MGI Symbol
7.39466389172769	8	Cx3cr1	0	13051	chemokine (C-X3-C motif) receptor 1 [Source:MGI Symbol
7.3706524642321	1326	Apol7c	NM_175391	108956	apolipoprotein L 7c [Source:MGI Symbol
7.17857563515863	98	Ube2c	NM_026785	68612	ubiquitin-conjugating enzyme E2C [Source:MGI Symbol
7.16290097248133	26	Aspm	0	12316	asp (abnormal spindle)-like
7.1375725498965	1698	Tpbgl	NM_001195529	100503386	trophoblast glycoprotein-like [Source:MGI Symbol
7.12139665119613	97	Troap	NM_001162506	78733	trophinin associated protein [Source:MGI Symbol
6.90208246555928	95	Fam64a	NM_144526	109212	family with sequence similarity 64
6.87795519891621	51	E2f7	0	52679	E2F transcription factor 7 [Source:MGI Symbol
6.84851191314168	146	Itga8	NM_001001309	241226	integrin alpha 8 [Source:MGI Symbol
6.82539648865605	352	Gm13710	0	NA	predicted gene 13710 [Source:MGI Symbol
6.82521590668183	60	Asgr2	NM_001313926	11890	asialoglycoprotein receptor 2 [Source:MGI Symbol
6.75984623711325	56	Ccna2	NM_009828	12428	cyclin A2 [Source:MGI Symbol
6.73274487559204	128	Clec4b1	NM_027218	69810	C-type lectin domain family 4
6.69648736477005	37	Tmem176b	NM_001164208	65963	transmembrane protein 176B [Source:MGI Symbol
6.69271633874135	459	Adam19	NM_001291890	11492	a disintegrin and metallopeptidase domain 19 (meltrin beta) [Source:MGI Symbol
6.68981531142231	233	Ccdc102a	NM_001033533	234582	coiled-coil domain containing 102A [Source:MGI Symbol
6.54359998511821	47	Kif14	0	381293	kinesin family member 14 [Source:MGI Symbol
6.39569541796688	127	Kif2c	NM_134471	73804	kinesin family member 2C [Source:MGI Symbol
6.3787343745291	332	Actr3b	NM_001310504	242894	ARP3 actin-related protein 3B [Source:MGI Symbol
6.35502503858327	215	Sema6d	NM_001290997	214968	sema domain
6.33894087842479	186	Rrm2	NM_009104	20135	ribonucleotide reductase M2 [Source:MGI Symbol
6.22482313404974	3	Myh10	NM_175260	77579	myosin
6.21474848198766	348	Nxpe1-ps	0	NA	neurexophilin and PC-esterase domain family
6.16546410671865	111	Cyp27a1	NM_024264	104086	cytochrome P450
6.13181484651757	913	0	0	NA	0
6.10466057018869	99	Clec10a	0	17312	C-type lectin domain family 10
6.0880300976877	257	Ephx1	0	13849	epoxide hydrolase 1
6.02763443962287	183	Kcnj10	NM_001039484	16513	potassium inwardly-rectifying channel
5.95956525428311	36	Ccnb2	NM_007630	12442	cyclin B2 [Source:MGI Symbol
5.94019978874328	52	Prr11	NM_175563	270906	proline rich 11 [Source:MGI Symbol
5.86864168157912	9922	Gemin4	NM_177367	276919	gem (nuclear organelle) associated protein 4 [Source:MGI Symbol
5.8635030105333	13	Card11	NM_175362	108723	caspase recruitment domain family
5.85652287834224	114	Hist1h2bh	NM_178197	319182	histone cluster 1
5.8468468418099	1562	Kctd12b	NM_175429	207474	potassium channel tetramerisation domain containing 12b [Source:MGI Symbol
5.8345091403904	380	Ckap2	NM_001004140	80986	cytoskeleton associated protein 2 [Source:MGI Symbol
5.74244232878292	34	2810417H13Rik	NM_026515	68026	RIKEN cDNA 2810417H13 gene [Source:MGI Symbol
5.70574454708809	134	Ppfia4	NM_001144855	68507	protein tyrosine phosphatase
5.69844848135709	115	Plxdc2	NM_026162	67448	plexin domain containing 2 [Source:MGI Symbol
5.68070051711699	219	C1qtnf1	0	56745	C1q and tumor necrosis factor related protein 1 [Source:MGI Symbol
5.67551827476083	1757	Klra17	0	170733	killer cell lectin-like receptor
5.665713066472	962	Tmem176a	0	66058	transmembrane protein 176A [Source:MGI Symbol
5.66245613697706	55	Ccr2	0	12772	chemokine (C-C motif) receptor 2 [Source:MGI Symbol
5.61701644742368	1193	Grap2	NM_001289442	17444	GRB2-related adaptor protein 2 [Source:MGI Symbol
5.58916649786855	42	Ptgs1	NM_008969	19224	prostaglandin-endoperoxide synthase 1 [Source:MGI Symbol
5.58839330453881	81	Hist1h3c	NM_175653	319148	histone cluster 1
5.55171613147602	54	Kif18b	NM_197959	70218	kinesin family member 18B [Source:MGI Symbol
5.50727506826678	49	Kntc1	0	208628	kinetochore associated 1 [Source:MGI Symbol
5.496143959781	39	Tlr12	NM_205823	384059	toll-like receptor 12 [Source:MGI Symbol
5.49271375699712	113	Rtn1	NM_153457	104001	reticulon 1 [Source:MGI Symbol
5.44732157792218	75	Egr3	NM_018781	13655	early growth response 3 [Source:MGI Symbol
5.43362670985	11	Chrm3	NM_033269	12671	cholinergic receptor
5.42477692156425	3938	Npl	NM_028749	74091	N-acetylneuraminate pyruvate lyase [Source:MGI Symbol
5.41703554519813	133	Casc5	0	76464	cancer susceptibility candidate 5 [Source:MGI Symbol
5.40479406913403	112	Cdca2	NM_175384	108912	cell division cycle associated 2 [Source:MGI Symbol
5.4036768929616	50	Plk1	NM_011121	18817	polo-like kinase 1 [Source:MGI Symbol
5.38677682700009	5	Lifr	NM_013584	16880	leukemia inhibitory factor receptor [Source:MGI Symbol
5.35413820032052	697	Man2a2	0	140481	mannosidase 2
5.34998718392199	86	Abca9	NM_147220	217262	ATP-binding cassette
5.34132291728214	46	Cyp4f18	NM_024444	72054	cytochrome P450
5.33298799504258	2649	B4galt4	0	56375	UDP-Gal:betaGlcNAc beta 1
5.27222482322688	4024	Fut10	NM_001012517	171167	fucosyltransferase 10 [Source:MGI Symbol
5.26197622933713	159	Kbtbd11	NM_029116	74901	kelch repeat and BTB (POZ) domain containing 11 [Source:MGI Symbol
5.25917762092695	655	Lpar5	NM_001163269	381810	lysophosphatidic acid receptor 5 [Source:MGI Symbol
5.2302514368033	11254	Angptl4	0	57875	angiopoietin-like 4 [Source:MGI Symbol
5.22246795294849	65	Knstrn	NM_026412	51944	kinetochore-localized astrin/SPAG5 binding [Source:MGI Symbol
5.20773289938052	135	Igfbp4	NM_010517	16010	insulin-like growth factor binding protein 4 [Source:MGI Symbol
5.20192518988312	158	Stmn1	NM_019641	16765	stathmin 1 [Source:MGI Symbol
5.16812017115698	1443	F13a1	NM_001166391	74145	coagulation factor XIII
5.16017032966153	103	Kcnd1	NM_008423	16506	potassium voltage-gated channel
5.12724706134347	9098	Rapsn	0	19400	receptor-associated protein of the synapse [Source:MGI Symbol
5.12468530124793	608	2010008C14Rik	0	NA	RIKEN cDNA 2010008C14 gene [Source:MGI Symbol
5.04900558383942	33	Kif11	NM_010615	16551	kinesin family member 11 [Source:MGI Symbol
4.98065760717621	89	Agmo	NM_178767	319660	alkylglycerol monooxygenase [Source:MGI Symbol
4.95815278989759	179	Clspn	NM_175554	269582	claspin [Source:MGI Symbol
4.95486307794608	149	Cfh	0	12628	complement component factor h [Source:MGI Symbol
4.94609752854302	1594	Elovl6	0	170439	ELOVL family member 6
4.90660565478662	956	Nup210	NM_018815	54563	nucleoporin 210 [Source:MGI Symbol
4.90418932403924	156	Hmmr	NM_013552	15366	hyaluronan mediated motility receptor (RHAMM) [Source:MGI Symbol
4.90338772517973	415	G430095P16Rik	0	NA	RIKEN cDNA G430095P16 gene [Source:MGI Symbol
4.89448544848026	187	Cdc20	NM_023223	107995	cell division cycle 20 [Source:MGI Symbol
4.88671568656004	658	Amica1	NM_001005421	270152	adhesion molecule
4.84694056048234	1970	Bmyc	NM_023326	107771	brain expressed myelocytomatosis oncogene [Source:MGI Symbol
4.83277089183101	926	Dpp4	NM_010074	13482	dipeptidylpeptidase 4 [Source:MGI Symbol
4.82710392152209	84	Hist1h3b	NM_178203	319150	histone cluster 1
4.79565262083754	5608	Rps27rt	NM_001190258	100043813	ribosomal protein S27
4.79435312848337	76	Cit	0	12704	citron [Source:MGI Symbol
4.79202705058526	294	Mrc1	NM_008625	17533	mannose receptor
4.79183699245789	250	Spc24	NM_026282	67629	SPC24
4.7412088665208	53	Ctse	NM_007799	13034	cathepsin E [Source:MGI Symbol
4.73922324206584	38	Top2a	NM_011623	21973	topoisomerase (DNA) II alpha [Source:MGI Symbol
4.73865189220748	381	Cd163	NM_053094	93671	CD163 antigen [Source:MGI Symbol
4.72836079858474	346	Hdac11	NM_144919	232232	histone deacetylase 11 [Source:MGI Symbol
4.71668363530974	70	Kif20a	NM_009004	19348	kinesin family member 20A [Source:MGI Symbol
4.68792298918156	110	Foxm1	0	14235	forkhead box M1 [Source:MGI Symbol
4.6753992131592	581	Depdc1b	NM_178683	218581	DEP domain containing 1B [Source:MGI Symbol
4.66701897810025	450	Exo1	NM_012012	26909	exonuclease 1 [Source:MGI Symbol
4.64834950793862	27	Gpr155	NM_001190297	68526	G protein-coupled receptor 155 [Source:MGI Symbol
4.63685250588325	314	Hist1h1b	NM_020034	56702	histone cluster 1
4.62831960370194	437	Fut4	NM_010242	14345	fucosyltransferase 4 [Source:MGI Symbol
4.62701495622902	145	Gpr34	0	23890	G protein-coupled receptor 34 [Source:MGI Symbol
4.60504143342591	195	Ocstamp	NM_029021	74614	osteoclast stimulatory transmembrane protein [Source:MGI Symbol
4.60404255819432	4819	Nat8l	NM_001001985	269642	N-acetyltransferase 8-like [Source:MGI Symbol
4.60287103884039	451	Sept6	NM_001177324	56526	septin 6 [Source:MGI Symbol
4.60222672534078	9	Mex3b	NM_175366	108797	mex3 RNA binding family member B [Source:MGI Symbol
4.55157521117332	752	Slc4a8	NM_021530	59033	solute carrier family 4 (anion exchanger)
4.53610029636093	230	Il16	NM_010551	16170	interleukin 16 [Source:MGI Symbol
4.53487333938825	169	Bcl2l14	NM_025778	66813	BCL2-like 14 (apoptosis facilitator) [Source:MGI Symbol
4.53218243765985	91	Kif4	NM_008446	16571	kinesin family member 4 [Source:MGI Symbol
